3538872394,1714,JP
1130350735,1357,Ken
2700770806,1702,Ken
1731599323,1482,Dee Jay
1887160030,1504,Cammy
4156531684,1702,Kimberly
2270541045,1386,Chun-Li
3613696443,1277,Manon
4066980422,1227,JP
1303064822,1382,Guile
1180057623,1743,Guile
2623847661,1500,Ken
2760541946,0,Ryu
2839880990,1551,Cammy
1958918258,1507,Ken
2654821341,1873,Chun-Li
2652086195,1624,Rashid
1137179029,1519,Zangief
2059030161,1482,Ken
2741419533,1417,Ryu
3065731991,1603,Rashid
1179501517,1838,Ken
1645621941,1526,Edmond Honda
1749968398,1500,Edmond Honda
1927528272,1544,Manon
3158184220,1553,Guile
3133296671,1551,Juri
2141311110,1500,Chun-Li
3650927418,1539,Dee Jay
2178051191,1639,Luke
1419266915,1552,Guile
1892170119,1807,Cammy
4209713837,1461,JP
3353697864,1504,Lily
3385899556,1328,Jamie
2447640486,1389,Dee Jay
4080116615,1422,JP
2436342771,1494,Rashid
3063745425,1544,JP
3030825660,1500,Edmond Honda
2140868140,1573,Jamie
2536061996,1435,Manon
1205714468,1543,Chun-Li
2092609753,1534,Marisa
2068580159,1511,Cammy
1672476198,1500,Ken
1296366215,1302,Luke
2522792282,1565,Guile
3066113442,1687,Luke
1099738343,1701,Juri
1645200673,1582,Zangief
3726533249,1389,Guile
3166876346,1500,Ryu
2798647355,1437,Dhalsim
1850102866,1500,Luke
1767667792,1428,JP
1542364123,1524,Luke
1338795525,2005,Juri
2652994922,1500,Ken
1354880892,1559,Rashid
3783778752,1414,JP
1951270356,1500,Ken
2228642045,1500,Ken
1764780350,1500,Blanka
2605726723,1500,Blanka
2183650432,1541,Kimberly
3121257728,1500,Kimberly
2797214595,1500,Juri
1114783929,1500,Juri
4155692115,1500,Juri
2125459187,1264,Ken
2525485523,1654,Dhalsim
1980527380,1495,Cammy
1493730908,1500,Juri
2963420158,1408,Marisa
2652481033,1334,Luke
1903354948,1500,Juri
1247910169,1500,Marisa
2791189809,1370,Kimberly
2710513696,1627,Rashid
3979475992,1500,Marisa
3889364552,1500,Marisa
2044593654,1482,Marisa
1246974184,1578,Zangief
1260711736,1704,Dee Jay
1450151769,1500,Ken
3628003542,1721,Chun-Li
3735973163,1500,Ken
2895057403,1574,JP
2178353182,1500,Ken
1235613862,1512,Edmond Honda
3193642801,1500,Ken
3975110266,1615,Dhalsim
1895460711,1500,Ken
1270296230,1500,Ken
3013194845,1424,Manon
2275813755,1321,Chun-Li
2588148549,1509,Kimberly
4071165367,1347,Chun-Li
1476851497,1444,Juri
3275496581,0,Ryu
3428758394,1413,Ryu
2335262331,1501,Ken
2920483294,1469,Cammy
1005510446,1318,Marisa
1211421571,1709,Dee Jay
1214454409,1416,Zangief
1973184672,1504,Blanka
3727467413,1609,Juri
3583452785,1500,Cammy
3796573058,1345,Lily
3988049561,1258,Dhalsim
3154676925,1438,JP
3816019367,1417,Ken
3627027472,1306,JP
1188494693,1337,Marisa
2702058445,1289,Ken
1492883419,1310,Guile
2153199319,1605,Cammy
3835955540,0,Ryu
4009642679,1937,Ken
3074733316,1565,Zangief
3392758251,1415,Cammy
4201864627,1534,Dee Jay
1033915081,1281,Lily
2589305615,1399,Manon
2966020847,1534,Luke
2033977251,0,Ryu
3182607534,1546,Zangief
1856366080,1532,Ken
4000662998,1484,Ken
3778891559,1346,JP
1574315431,1713,Ryu
2990601257,1708,Jamie
3016129849,1554,Rashid
3059925488,1809,Cammy
2988760066,1708,Rashid
1193316356,1563,Chun-Li
2142776855,1484,Juri
3230879234,1336,Ken
3175675073,1503,Guile
1226844108,1381,Jamie
1373633633,1404,Dee Jay
3029830142,1500,Rashid
2900135856,1389,Manon
3400133994,1417,Marisa
1876956663,1479,Marisa
3730091909,1548,Juri
2417315735,1480,Dee Jay
3307235477,1244,Dhalsim
3900719301,1460,Lily
1105790383,1547,JP
4191810449,1409,Chun-Li
1500505229,1556,JP
1886908788,1540,Guile
1789478673,1286,Kimberly
1966747446,1445,Juri
1860632252,1808,Ken
2158640852,1707,Chun-Li
2149728868,1314,Dee Jay
2320905150,1251,Luke
2207811243,1240,Edmond Honda
3559584611,0,Ryu
2794724781,1624,JP
3608684322,1507,Ken
2394694776,1517,Manon
3316036115,0,Ryu
3145691798,1314,Ken
3886678249,1323,Manon
3199920820,1379,Manon
4040280546,1324,Zangief
2358900255,1500,Luke
2183566886,1503,Manon
2517034938,1215,Ryu
1687522144,1644,Ken
2793470535,1379,Manon
2491198390,1801,Manon
2610908748,1601,Edmond Honda
1540387334,1238,Ken
1260649509,1500,Luke
1179225569,1500,Blanka
2738692748,0,Ryu
3870475559,1380,Luke
2113269179,1397,Ryu
3912106840,1554,Cammy
4191127046,1652,Juri
2525756385,1514,Juri
2233611302,1532,Dee Jay
3586442831,1605,JP
3433495360,1553,Edmond Honda
1124738942,1470,Marisa
1701357647,1541,JP
2429787923,1166,JP
3028535471,1704,Luke
2901642475,1539,Cammy
3835347713,1568,Dee Jay
1518701892,1626,Jamie
1422059917,1601,Marisa
1089518561,1716,Ken
2885157297,1360,Juri
2685633561,1600,Manon
2489130413,1507,JP
2229725049,1660,Jamie
2359431293,1543,Manon
4025332280,1379,Dhalsim
3280090337,1475,Rashid
2781292115,1500,Chun-Li
1094695771,1491,JP
3468493524,1500,Manon
2543936621,1612,Lily
2296692601,1583,Manon
3773242946,1503,Ken
1446574659,1604,Chun-Li
3451347279,1569,Luke
3099508535,1508,Manon
3423269676,1317,Ryu
4288275424,1462,Marisa
2604111655,1810,Marisa
4021444777,1940,Kimberly
